;Marka;Ocena;Płeć kupującego
3;Beko;1.5;M
4;Beko;2.5;M
5;Beko;2.0;M
13;Beko;3.0;M
18;Beko;4.0;M
19;Beko;2.0;M
20;Beko;4.5;M
33;Beko;2.0;M
37;Beko;4.0;M
39;Beko;1.5;M
42;Beko;2.0;M
48;Beko;0.5;M
51;Beko;4.0;M
53;Beko;2.0;M
56;Beko;1.5;M
58;Beko;2.5;M
67;Beko;1.5;M
78;Beko;1.5;M
81;Beko;1.0;M
83;Beko;1.5;M
88;Beko;2.0;M
90;Beko;3.0;M
94;Beko;1.5;M
97;Beko;3.0;M
102;Beko;2.5;M
106;Beko;2.0;M
108;Beko;3.5;M
119;Beko;3.0;M
141;Beko;3.0;M
142;Beko;3.0;M
146;Beko;3.0;M
147;Beko;3.0;M
148;Beko;2.5;M
149;Beko;2.0;M
151;Beko;4.0;M
153;Beko;2.5;M
163;Beko;4.0;M
165;Beko;2.5;M
168;Beko;3.0;M
170;Beko;1.5;M
185;Beko;3.0;M
188;Beko;4.5;M
191;Beko;2.5;M
193;Beko;3.5;M
195;Beko;2.5;M
201;Beko;2.5;M
204;Beko;2.5;M
208;Beko;2.0;M
212;Beko;1.5;M
215;Beko;4.0;M
216;Beko;1.0;M
217;Beko;3.0;M
242;Beko;1.0;M
243;Beko;0.0;M
248;Beko;3.0;M
249;Beko;1.0;M
255;Beko;1.0;M
271;Beko;5.0;M
273;Beko;3.5;M
275;Beko;2.5;M
278;Beko;1.0;M
287;Beko;4.0;M
290;Beko;2.0;M
295;Beko;1.5;M
297;Beko;3.0;M
304;Beko;3.0;M
306;Beko;5.0;M
309;Beko;3.0;M
313;Beko;3.0;M
316;Beko;2.0;M
318;Beko;1.0;M
320;Beko;2.5;M
323;Beko;3.5;M
330;Beko;2.0;M
331;Beko;1.5;M
333;Beko;3.0;M
336;Beko;2.5;M
346;Beko;1.5;M
349;Beko;4.0;M
353;Beko;3.5;M
354;Beko;3.0;M
363;Beko;2.5;M
365;Beko;4.0;M
393;Beko;1.5;M
407;Beko;3.0;M
411;Beko;4.0;M
423;Beko;2.0;M
426;Beko;1.5;M
429;Beko;1.0;M
431;Beko;2.5;M
434;Beko;3.5;M
435;Beko;2.0;M
445;Beko;2.0;M
454;Beko;1.5;M
465;Beko;3.5;M
468;Beko;2.5;M
469;Beko;2.0;M
477;Beko;4.0;M
478;Beko;2.5;M
479;Beko;1.0;M
480;Beko;1.0;M
482;Beko;3.0;M
484;Beko;2.5;M
485;Beko;1.5;M
489;Beko;4.0;M
494;Beko;2.5;M
501;Beko;2.0;M
502;Beko;2.5;M
504;Beko;4.0;M
520;Beko;2.5;M
531;Beko;2.5;M
532;Beko;2.5;M
