;Marka;Wiek kupującego;Płeć kupującego
3;Beko;;M
4;Beko;35.0;M
5;Beko;53.0;M
13;Beko;39.0;M
18;Beko;52.0;M
19;Beko;56.0;M
20;Beko;31.0;M
33;Beko;;M
37;Beko;31.0;M
39;Beko;34.0;M
42;Beko;25.0;M
48;Beko;38.0;M
51;Beko;;M
53;Beko;38.0;M
56;Beko;20.0;M
58;Beko;;M
67;Beko;;M
78;Beko;46.0;M
81;Beko;52.0;M
83;Beko;52.0;M
88;Beko;47.0;M
90;Beko;42.0;M
94;Beko;29.0;M
97;Beko;38.0;M
102;Beko;33.0;M
106;Beko;42.0;M
108;Beko;51.0;M
119;Beko;29.0;M
141;Beko;45.0;M
142;Beko;37.0;M
146;Beko;32.0;M
147;Beko;37.0;M
148;Beko;46.0;M
149;Beko;28.0;M
151;Beko;27.0;M
153;Beko;25.0;M
163;Beko;52.0;M
165;Beko;20.0;M
168;Beko;36.0;M
170;Beko;31.0;M
185;Beko;47.0;M
188;Beko;32.0;M
191;Beko;32.0;M
193;Beko;46.0;M
195;Beko;;M
201;Beko;;M
204;Beko;49.0;M
208;Beko;43.0;M
212;Beko;65.0;M
215;Beko;36.0;M
216;Beko;41.0;M
217;Beko;40.0;M
242;Beko;37.0;M
243;Beko;49.0;M
248;Beko;42.0;M
249;Beko;54.0;M
255;Beko;39.0;M
271;Beko;56.0;M
273;Beko;48.0;M
275;Beko;33.0;M
278;Beko;29.0;M
287;Beko;50.0;M
290;Beko;47.0;M
295;Beko;;M
297;Beko;37.0;M
304;Beko;30.0;M
306;Beko;;M
309;Beko;42.0;M
313;Beko;46.0;M
316;Beko;50.0;M
318;Beko;38.0;M
320;Beko;48.0;M
323;Beko;35.0;M
330;Beko;36.0;M
331;Beko;22.0;M
333;Beko;53.0;M
336;Beko;41.0;M
346;Beko;36.0;M
349;Beko;32.0;M
353;Beko;38.0;M
354;Beko;26.0;M
363;Beko;31.0;M
365;Beko;24.0;M
393;Beko;32.0;M
407;Beko;41.0;M
411;Beko;41.0;M
423;Beko;26.0;M
426;Beko;44.0;M
429;Beko;26.0;M
431;Beko;53.0;M
434;Beko;53.0;M
435;Beko;50.0;M
445;Beko;41.0;M
454;Beko;63.0;M
465;Beko;40.0;M
468;Beko;23.0;M
469;Beko;50.0;M
477;Beko;58.0;M
478;Beko;21.0;M
479;Beko;38.0;M
480;Beko;32.0;M
482;Beko;42.0;M
484;Beko;38.0;M
485;Beko;41.0;M
489;Beko;25.0;M
494;Beko;45.0;M
501;Beko;35.0;M
502;Beko;46.0;M
504;Beko;32.0;M
520;Beko;47.0;M
531;Beko;43.0;M
532;Beko;;M
