;Marka;Ocena;Płeć kupującego
7;Dyson;3.0;M
23;Dyson;3.5;M
27;Dyson;2.0;M
28;Dyson;2.5;M
43;Dyson;0.0;M
70;Dyson;1.0;M
73;Dyson;3.0;M
76;Dyson;4.0;M
77;Dyson;2.0;M
99;Dyson;3.0;M
105;Dyson;3.0;M
111;Dyson;1.5;M
116;Dyson;2.0;M
121;Dyson;1.5;M
126;Dyson;2.0;M
128;Dyson;2.5;M
132;Dyson;1.0;M
154;Dyson;1.0;M
172;Dyson;2.0;M
186;Dyson;2.5;M
187;Dyson;2.0;M
207;Dyson;1.5;M
213;Dyson;2.0;M
219;Dyson;3.0;M
220;Dyson;4.0;M
230;Dyson;2.5;M
239;Dyson;1.0;M
241;Dyson;3.5;M
254;Dyson;2.5;M
262;Dyson;2.0;M
264;Dyson;1.0;M
266;Dyson;3.0;M
269;Dyson;2.0;M
270;Dyson;2.0;M
289;Dyson;3.5;M
305;Dyson;1.5;M
310;Dyson;1.5;M
315;Dyson;2.0;M
327;Dyson;1.0;M
334;Dyson;2.5;M
335;Dyson;1.5;M
337;Dyson;3.5;M
339;Dyson;3.5;M
340;Dyson;2.0;M
342;Dyson;1.0;M
348;Dyson;2.0;M
351;Dyson;3.5;M
362;Dyson;2.5;M
369;Dyson;2.0;M
370;Dyson;3.0;M
380;Dyson;4.0;M
396;Dyson;1.5;M
401;Dyson;3.5;M
406;Dyson;1.5;M
410;Dyson;3.0;M
417;Dyson;2.0;M
418;Dyson;3.5;M
421;Dyson;3.5;M
424;Dyson;1.5;M
433;Dyson;1.0;M
443;Dyson;2.5;M
444;Dyson;2.0;M
458;Dyson;3.0;M
471;Dyson;3.0;M
486;Dyson;3.5;M
488;Dyson;0.5;M
490;Dyson;1.0;M
493;Dyson;4.0;M
495;Dyson;2.0;M
497;Dyson;0.0;M
513;Dyson;4.5;M
515;Dyson;2.5;M
522;Dyson;3.0;M
528;Dyson;3.0;M
