;Marka;Wiek kupującego;Płeć kupującego
2;Electrolux;;K
6;Electrolux;27.0;K
29;Electrolux;22.0;K
36;Electrolux;44.0;K
45;Electrolux;34.0;K
55;Electrolux;34.0;K
71;Electrolux;35.0;K
103;Electrolux;34.0;K
120;Electrolux;37.0;K
135;Electrolux;53.0;K
136;Electrolux;41.0;K
173;Electrolux;41.0;K
176;Electrolux;25.0;K
180;Electrolux;39.0;K
199;Electrolux;44.0;K
226;Electrolux;36.0;K
258;Electrolux;47.0;K
279;Electrolux;51.0;K
284;Electrolux;42.0;K
285;Electrolux;;K
288;Electrolux;38.0;K
341;Electrolux;50.0;K
358;Electrolux;49.0;K
373;Electrolux;32.0;K
381;Electrolux;19.0;K
412;Electrolux;44.0;K
415;Electrolux;42.0;K
436;Electrolux;;K
442;Electrolux;31.0;K
470;Electrolux;39.0;K
475;Electrolux;52.0;K
500;Electrolux;30.0;K
512;Electrolux;47.0;K
530;Electrolux;26.0;K
533;Electrolux;57.0;K
