;Marka;Wiek kupującego;Płeć kupującego
0;Electrolux;41.0;M
1;Electrolux;57.0;M
8;Electrolux;50.0;M
10;Electrolux;37.0;M
11;Electrolux;27.0;M
12;Electrolux;45.0;M
16;Electrolux;29.0;M
17;Electrolux;45.0;M
21;Electrolux;25.0;M
22;Electrolux;38.0;M
24;Electrolux;41.0;M
26;Electrolux;34.0;M
30;Electrolux;52.0;M
32;Electrolux;26.0;M
38;Electrolux;40.0;M
40;Electrolux;33.0;M
44;Electrolux;43.0;M
47;Electrolux;;M
49;Electrolux;;M
50;Electrolux;27.0;M
52;Electrolux;47.0;M
54;Electrolux;47.0;M
60;Electrolux;20.0;M
62;Electrolux;36.0;M
63;Electrolux;48.0;M
65;Electrolux;39.0;M
68;Electrolux;37.0;M
79;Electrolux;50.0;M
86;Electrolux;52.0;M
89;Electrolux;42.0;M
91;Electrolux;52.0;M
93;Electrolux;18.0;M
96;Electrolux;45.0;M
100;Electrolux;45.0;M
101;Electrolux;39.0;M
109;Electrolux;30.0;M
112;Electrolux;;M
114;Electrolux;33.0;M
115;Electrolux;21.0;M
117;Electrolux;;M
125;Electrolux;53.0;M
127;Electrolux;39.0;M
129;Electrolux;39.0;M
130;Electrolux;38.0;M
133;Electrolux;;M
134;Electrolux;37.0;M
138;Electrolux;48.0;M
139;Electrolux;42.0;M
143;Electrolux;34.0;M
144;Electrolux;;M
145;Electrolux;36.0;M
152;Electrolux;41.0;M
155;Electrolux;48.0;M
156;Electrolux;44.0;M
158;Electrolux;54.0;M
159;Electrolux;41.0;M
161;Electrolux;35.0;M
162;Electrolux;34.0;M
166;Electrolux;41.0;M
175;Electrolux;33.0;M
177;Electrolux;52.0;M
178;Electrolux;38.0;M
181;Electrolux;45.0;M
183;Electrolux;40.0;M
189;Electrolux;51.0;M
190;Electrolux;62.0;M
197;Electrolux;61.0;M
198;Electrolux;48.0;M
200;Electrolux;36.0;M
202;Electrolux;37.0;M
206;Electrolux;39.0;M
209;Electrolux;46.0;M
211;Electrolux;31.0;M
218;Electrolux;44.0;M
221;Electrolux;31.0;M
222;Electrolux;52.0;M
223;Electrolux;38.0;M
228;Electrolux;50.0;M
229;Electrolux;41.0;M
232;Electrolux;36.0;M
236;Electrolux;30.0;M
238;Electrolux;39.0;M
245;Electrolux;42.0;M
250;Electrolux;;M
251;Electrolux;35.0;M
252;Electrolux;27.0;M
253;Electrolux;54.0;M
256;Electrolux;;M
257;Electrolux;;M
259;Electrolux;53.0;M
260;Electrolux;;M
261;Electrolux;27.0;M
263;Electrolux;43.0;M
267;Electrolux;21.0;M
268;Electrolux;42.0;M
272;Electrolux;49.0;M
274;Electrolux;36.0;M
277;Electrolux;33.0;M
280;Electrolux;39.0;M
282;Electrolux;39.0;M
283;Electrolux;;M
286;Electrolux;28.0;M
292;Electrolux;46.0;M
299;Electrolux;37.0;M
302;Electrolux;31.0;M
303;Electrolux;32.0;M
307;Electrolux;49.0;M
308;Electrolux;62.0;M
311;Electrolux;42.0;M
312;Electrolux;26.0;M
314;Electrolux;34.0;M
317;Electrolux;53.0;M
321;Electrolux;39.0;M
322;Electrolux;48.0;M
324;Electrolux;;M
326;Electrolux;48.0;M
328;Electrolux;42.0;M
329;Electrolux;44.0;M
332;Electrolux;34.0;M
338;Electrolux;40.0;M
343;Electrolux;37.0;M
344;Electrolux;25.0;M
345;Electrolux;32.0;M
350;Electrolux;49.0;M
352;Electrolux;;M
355;Electrolux;26.0;M
356;Electrolux;45.0;M
357;Electrolux;27.0;M
366;Electrolux;44.0;M
367;Electrolux;44.0;M
372;Electrolux;;M
374;Electrolux;50.0;M
375;Electrolux;28.0;M
383;Electrolux;35.0;M
384;Electrolux;54.0;M
388;Electrolux;43.0;M
392;Electrolux;52.0;M
394;Electrolux;29.0;M
397;Electrolux;38.0;M
402;Electrolux;49.0;M
408;Electrolux;;M
409;Electrolux;31.0;M
414;Electrolux;49.0;M
416;Electrolux;42.0;M
419;Electrolux;39.0;M
427;Electrolux;20.0;M
438;Electrolux;61.0;M
439;Electrolux;29.0;M
440;Electrolux;37.0;M
441;Electrolux;25.0;M
446;Electrolux;20.0;M
447;Electrolux;27.0;M
449;Electrolux;39.0;M
450;Electrolux;49.0;M
453;Electrolux;47.0;M
455;Electrolux;36.0;M
456;Electrolux;29.0;M
460;Electrolux;38.0;M
461;Electrolux;;M
464;Electrolux;44.0;M
466;Electrolux;;M
474;Electrolux;;M
476;Electrolux;31.0;M
481;Electrolux;21.0;M
487;Electrolux;33.0;M
491;Electrolux;43.0;M
499;Electrolux;38.0;M
503;Electrolux;30.0;M
506;Electrolux;24.0;M
508;Electrolux;50.0;M
511;Electrolux;29.0;M
514;Electrolux;20.0;M
516;Electrolux;54.0;M
519;Electrolux;43.0;M
525;Electrolux;45.0;M
527;Electrolux;31.0;M
