;Marka;Ocena;Płeć kupującego
2;Electrolux;4.5;K
6;Electrolux;4.5;K
29;Electrolux;1.5;K
36;Electrolux;3.5;K
45;Electrolux;5.0;K
55;Electrolux;5.0;K
71;Electrolux;5.0;K
103;Electrolux;4.0;K
120;Electrolux;2.0;K
135;Electrolux;2.0;K
136;Electrolux;1.5;K
173;Electrolux;1.5;K
176;Electrolux;3.0;K
180;Electrolux;2.5;K
199;Electrolux;1.5;K
226;Electrolux;2.5;K
258;Electrolux;2.0;K
279;Electrolux;0.5;K
284;Electrolux;1.5;K
285;Electrolux;2.5;K
288;Electrolux;2.0;K
341;Electrolux;1.0;K
358;Electrolux;3.5;K
373;Electrolux;5.0;K
381;Electrolux;3.0;K
412;Electrolux;5.0;K
415;Electrolux;2.0;K
436;Electrolux;4.0;K
442;Electrolux;2.5;K
470;Electrolux;3.0;K
475;Electrolux;2.5;K
500;Electrolux;1.5;K
512;Electrolux;4.5;K
530;Electrolux;1.5;K
533;Electrolux;1.5;K
