;Marka;Ocena;Płeć kupującego
0;Electrolux;3.0;M
1;Electrolux;3.0;M
8;Electrolux;3.0;M
10;Electrolux;4.0;M
11;Electrolux;5.0;M
12;Electrolux;4.0;M
16;Electrolux;3.5;M
17;Electrolux;4.5;M
21;Electrolux;1.5;M
22;Electrolux;1.5;M
24;Electrolux;1.5;M
26;Electrolux;2.0;M
30;Electrolux;3.5;M
32;Electrolux;2.0;M
38;Electrolux;1.0;M
40;Electrolux;3.5;M
44;Electrolux;0.5;M
47;Electrolux;4.0;M
49;Electrolux;3.5;M
50;Electrolux;2.0;M
52;Electrolux;1.5;M
54;Electrolux;1.5;M
60;Electrolux;2.5;M
62;Electrolux;4.5;M
63;Electrolux;3.0;M
65;Electrolux;3.5;M
68;Electrolux;1.0;M
79;Electrolux;2.0;M
86;Electrolux;2.0;M
89;Electrolux;3.0;M
91;Electrolux;3.5;M
93;Electrolux;1.0;M
96;Electrolux;2.5;M
100;Electrolux;3.0;M
101;Electrolux;1.5;M
109;Electrolux;3.0;M
112;Electrolux;2.0;M
114;Electrolux;2.0;M
115;Electrolux;4.0;M
117;Electrolux;2.5;M
125;Electrolux;1.5;M
127;Electrolux;0.5;M
129;Electrolux;3.0;M
130;Electrolux;3.5;M
133;Electrolux;2.0;M
134;Electrolux;2.0;M
138;Electrolux;2.0;M
139;Electrolux;4.5;M
143;Electrolux;2.5;M
144;Electrolux;1.0;M
145;Electrolux;1.5;M
152;Electrolux;5.0;M
155;Electrolux;2.0;M
156;Electrolux;5.0;M
158;Electrolux;1.5;M
159;Electrolux;3.5;M
161;Electrolux;3.5;M
162;Electrolux;2.0;M
166;Electrolux;2.0;M
175;Electrolux;4.0;M
177;Electrolux;0.5;M
178;Electrolux;2.5;M
181;Electrolux;4.0;M
183;Electrolux;2.5;M
189;Electrolux;2.5;M
190;Electrolux;1.5;M
197;Electrolux;1.0;M
198;Electrolux;2.5;M
200;Electrolux;4.0;M
202;Electrolux;2.5;M
206;Electrolux;3.0;M
209;Electrolux;2.5;M
211;Electrolux;2.5;M
218;Electrolux;3.5;M
221;Electrolux;4.0;M
222;Electrolux;2.5;M
223;Electrolux;1.5;M
228;Electrolux;2.5;M
229;Electrolux;2.5;M
232;Electrolux;4.0;M
236;Electrolux;3.0;M
238;Electrolux;1.5;M
245;Electrolux;4.0;M
250;Electrolux;2.0;M
251;Electrolux;3.0;M
252;Electrolux;5.0;M
253;Electrolux;3.0;M
256;Electrolux;2.5;M
257;Electrolux;2.0;M
259;Electrolux;2.5;M
260;Electrolux;1.5;M
261;Electrolux;1.0;M
263;Electrolux;2.0;M
267;Electrolux;3.0;M
268;Electrolux;2.0;M
272;Electrolux;2.0;M
274;Electrolux;1.5;M
277;Electrolux;2.0;M
280;Electrolux;5.0;M
282;Electrolux;2.0;M
283;Electrolux;4.0;M
286;Electrolux;4.0;M
292;Electrolux;2.0;M
299;Electrolux;1.0;M
302;Electrolux;2.0;M
303;Electrolux;2.5;M
307;Electrolux;2.5;M
308;Electrolux;1.5;M
311;Electrolux;3.0;M
312;Electrolux;1.5;M
314;Electrolux;2.0;M
317;Electrolux;1.0;M
321;Electrolux;4.5;M
322;Electrolux;2.5;M
324;Electrolux;1.5;M
326;Electrolux;2.5;M
328;Electrolux;1.5;M
329;Electrolux;2.5;M
332;Electrolux;3.5;M
338;Electrolux;2.5;M
343;Electrolux;4.0;M
344;Electrolux;2.5;M
345;Electrolux;1.5;M
350;Electrolux;1.5;M
352;Electrolux;3.5;M
355;Electrolux;2.0;M
356;Electrolux;2.0;M
357;Electrolux;1.0;M
366;Electrolux;4.0;M
367;Electrolux;3.0;M
372;Electrolux;2.0;M
374;Electrolux;3.0;M
375;Electrolux;4.0;M
383;Electrolux;2.5;M
384;Electrolux;4.5;M
388;Electrolux;3.5;M
392;Electrolux;2.0;M
394;Electrolux;1.5;M
397;Electrolux;3.5;M
402;Electrolux;2.5;M
408;Electrolux;1.0;M
409;Electrolux;5.0;M
414;Electrolux;2.5;M
416;Electrolux;1.5;M
419;Electrolux;1.0;M
427;Electrolux;2.5;M
438;Electrolux;2.5;M
439;Electrolux;1.0;M
440;Electrolux;2.5;M
441;Electrolux;2.5;M
446;Electrolux;2.0;M
447;Electrolux;5.0;M
449;Electrolux;1.0;M
450;Electrolux;1.0;M
453;Electrolux;3.0;M
455;Electrolux;3.0;M
456;Electrolux;0.5;M
460;Electrolux;2.0;M
461;Electrolux;2.0;M
464;Electrolux;2.0;M
466;Electrolux;2.0;M
474;Electrolux;4.0;M
476;Electrolux;1.0;M
481;Electrolux;2.0;M
487;Electrolux;2.0;M
491;Electrolux;2.5;M
499;Electrolux;2.5;M
503;Electrolux;1.0;M
506;Electrolux;2.5;M
508;Electrolux;2.5;M
511;Electrolux;2.5;M
514;Electrolux;1.5;M
516;Electrolux;3.0;M
519;Electrolux;3.5;M
525;Electrolux;2.0;M
527;Electrolux;3.5;M
