;Marka;Wiek kupującego;Płeć kupującego
15;Samsung;47.0;M
35;Samsung;;M
41;Samsung;43.0;M
57;Samsung;40.0;M
59;Samsung;33.0;M
122;Samsung;44.0;M
157;Samsung;53.0;M
160;Samsung;45.0;M
194;Samsung;41.0;M
196;Samsung;31.0;M
227;Samsung;49.0;M
233;Samsung;39.0;M
240;Samsung;27.0;M
298;Samsung;;M
360;Samsung;43.0;M
361;Samsung;50.0;M
368;Samsung;43.0;M
379;Samsung;45.0;M
382;Samsung;58.0;M
386;Samsung;44.0;M
387;Samsung;46.0;M
389;Samsung;;M
404;Samsung;40.0;M
448;Samsung;40.0;M
451;Samsung;55.0;M
483;Samsung;44.0;M
496;Samsung;31.0;M
521;Samsung;48.0;M
526;Samsung;51.0;M
529;Samsung;39.0;M
