;Marka;Wiek kupującego;Płeć kupującego
14;Tefal;41.0;M
25;Tefal;22.0;M
31;Tefal;33.0;M
34;Tefal;39.0;M
46;Tefal;41.0;M
66;Tefal;27.0;M
69;Tefal;53.0;M
72;Tefal;44.0;M
75;Tefal;40.0;M
82;Tefal;28.0;M
87;Tefal;45.0;M
92;Tefal;58.0;M
95;Tefal;46.0;M
104;Tefal;;M
110;Tefal;39.0;M
123;Tefal;41.0;M
124;Tefal;29.0;M
131;Tefal;33.0;M
164;Tefal;51.0;M
167;Tefal;27.0;M
169;Tefal;30.0;M
179;Tefal;;M
184;Tefal;23.0;M
192;Tefal;30.0;M
203;Tefal;35.0;M
205;Tefal;;M
210;Tefal;42.0;M
214;Tefal;;M
234;Tefal;43.0;M
235;Tefal;46.0;M
244;Tefal;42.0;M
247;Tefal;45.0;M
265;Tefal;57.0;M
276;Tefal;20.0;M
281;Tefal;;M
291;Tefal;;M
296;Tefal;;M
300;Tefal;29.0;M
319;Tefal;70.0;M
364;Tefal;31.0;M
377;Tefal;47.0;M
378;Tefal;34.0;M
390;Tefal;51.0;M
398;Tefal;32.0;M
399;Tefal;39.0;M
403;Tefal;42.0;M
405;Tefal;32.0;M
420;Tefal;26.0;M
430;Tefal;32.0;M
437;Tefal;25.0;M
452;Tefal;;M
462;Tefal;;M
463;Tefal;44.0;M
467;Tefal;45.0;M
472;Tefal;38.0;M
492;Tefal;36.0;M
507;Tefal;41.0;M
510;Tefal;48.0;M
