;Marka;Ocena;Płeć kupującego
14;Tefal;3.0;M
25;Tefal;3.0;M
31;Tefal;2.5;M
34;Tefal;2.0;M
46;Tefal;1.5;M
66;Tefal;4.0;M
69;Tefal;1.0;M
72;Tefal;3.5;M
75;Tefal;2.0;M
82;Tefal;2.0;M
87;Tefal;1.0;M
92;Tefal;0.0;M
95;Tefal;2.0;M
104;Tefal;3.0;M
110;Tefal;1.5;M
123;Tefal;1.5;M
124;Tefal;4.0;M
131;Tefal;1.5;M
164;Tefal;2.5;M
167;Tefal;5.0;M
169;Tefal;3.5;M
179;Tefal;1.5;M
184;Tefal;5.0;M
192;Tefal;3.5;M
203;Tefal;1.0;M
205;Tefal;1.5;M
210;Tefal;3.0;M
214;Tefal;1.0;M
234;Tefal;1.5;M
235;Tefal;1.5;M
244;Tefal;0.5;M
247;Tefal;3.5;M
265;Tefal;3.5;M
276;Tefal;4.5;M
281;Tefal;1.5;M
291;Tefal;1.5;M
296;Tefal;1.5;M
300;Tefal;1.0;M
319;Tefal;3.0;M
364;Tefal;2.5;M
377;Tefal;4.0;M
378;Tefal;4.0;M
390;Tefal;1.0;M
398;Tefal;3.5;M
399;Tefal;3.5;M
403;Tefal;5.0;M
405;Tefal;2.0;M
420;Tefal;1.5;M
430;Tefal;3.0;M
437;Tefal;1.5;M
452;Tefal;4.0;M
462;Tefal;3.0;M
463;Tefal;1.5;M
467;Tefal;4.5;M
472;Tefal;2.0;M
492;Tefal;5.0;M
507;Tefal;3.0;M
510;Tefal;2.0;M
