;Marka;Ocena;Płeć kupującego
0;Electrolux;3.0;M
1;Electrolux;3.0;M
2;Electrolux;4.5;K
3;Beko;1.5;M
4;Beko;2.5;M
5;Beko;2.0;M
6;Electrolux;4.5;K
7;Dyson;3.0;M
8;Electrolux;3.0;M
9;Tefal;5.0;K
10;Electrolux;4.0;M
11;Electrolux;5.0;M
12;Electrolux;4.0;M
13;Beko;3.0;M
14;Tefal;3.0;M
15;Samsung;1.5;M
16;Electrolux;3.5;M
17;Electrolux;4.5;M
18;Beko;4.0;M
19;Beko;2.0;M
20;Beko;4.5;M
21;Electrolux;1.5;M
22;Electrolux;1.5;M
23;Dyson;3.5;M
24;Electrolux;1.5;M
25;Tefal;3.0;M
26;Electrolux;2.0;M
27;Dyson;2.0;M
28;Dyson;2.5;M
29;Electrolux;1.5;K
30;Electrolux;3.5;M
31;Tefal;2.5;M
32;Electrolux;2.0;M
33;Beko;2.0;M
34;Tefal;2.0;M
35;Samsung;2.0;M
36;Electrolux;3.5;K
37;Beko;4.0;M
38;Electrolux;1.0;M
39;Beko;1.5;M
40;Electrolux;3.5;M
41;Samsung;1.5;M
42;Beko;2.0;M
43;Dyson;0.0;M
44;Electrolux;0.5;M
45;Electrolux;5.0;K
46;Tefal;1.5;M
47;Electrolux;4.0;M
48;Beko;0.5;M
49;Electrolux;3.5;M
50;Electrolux;2.0;M
51;Beko;4.0;M
52;Electrolux;1.5;M
53;Beko;2.0;M
54;Electrolux;1.5;M
55;Electrolux;5.0;K
56;Beko;1.5;M
57;Samsung;3.5;M
58;Beko;2.5;M
59;Samsung;1.5;M
60;Electrolux;2.5;M
61;Beko;2.0;K
62;Electrolux;4.5;M
63;Electrolux;3.0;M
64;Tefal;3.5;K
65;Electrolux;3.5;M
66;Tefal;4.0;M
67;Beko;1.5;M
68;Electrolux;1.0;M
69;Tefal;1.0;M
70;Dyson;1.0;M
71;Electrolux;5.0;K
72;Tefal;3.5;M
73;Dyson;3.0;M
74;Tefal;2.0;K
75;Tefal;2.0;M
76;Dyson;4.0;M
77;Dyson;2.0;M
78;Beko;1.5;M
79;Electrolux;2.0;M
80;Dyson;1.5;K
81;Beko;1.0;M
82;Tefal;2.0;M
83;Beko;1.5;M
84;Electrolux;1.5;bd.
85;Samsung;2.0;bd.
86;Electrolux;2.0;M
87;Tefal;1.0;M
88;Beko;2.0;M
89;Electrolux;3.0;M
90;Beko;3.0;M
91;Electrolux;3.5;M
92;Tefal;0.0;M
93;Electrolux;1.0;M
94;Beko;1.5;M
95;Tefal;2.0;M
96;Electrolux;2.5;M
97;Beko;3.0;M
98;Tefal;2.5;K
99;Dyson;3.0;M
100;Electrolux;3.0;M
101;Electrolux;1.5;M
102;Beko;2.5;M
103;Electrolux;4.0;K
104;Tefal;3.0;M
105;Dyson;3.0;M
106;Beko;2.0;M
107;Dyson;2.0;K
108;Beko;3.5;M
109;Electrolux;3.0;M
110;Tefal;1.5;M
111;Dyson;1.5;M
112;Electrolux;2.0;M
113;Beko;2.0;K
114;Electrolux;2.0;M
115;Electrolux;4.0;M
116;Dyson;2.0;M
117;Electrolux;2.5;M
118;Beko;3.0;K
119;Beko;3.0;M
120;Electrolux;2.0;K
121;Dyson;1.5;M
122;Samsung;1.0;M
123;Tefal;1.5;M
124;Tefal;4.0;M
125;Electrolux;1.5;M
126;Dyson;2.0;M
127;Electrolux;0.5;M
128;Dyson;2.5;M
129;Electrolux;3.0;M
130;Electrolux;3.5;M
131;Tefal;1.5;M
132;Dyson;1.0;M
133;Electrolux;2.0;M
134;Electrolux;2.0;M
135;Electrolux;2.0;K
136;Electrolux;1.5;K
137;Beko;1.5;K
138;Electrolux;2.0;M
139;Electrolux;4.5;M
140;Tefal;2.0;K
141;Beko;3.0;M
142;Beko;3.0;M
143;Electrolux;2.5;M
144;Electrolux;1.0;M
145;Electrolux;1.5;M
146;Beko;3.0;M
147;Beko;3.0;M
148;Beko;2.5;M
149;Beko;2.0;M
150;Dyson;3.0;bd.
151;Beko;4.0;M
152;Electrolux;5.0;M
153;Beko;2.5;M
154;Dyson;1.0;M
155;Electrolux;2.0;M
156;Electrolux;5.0;M
157;Samsung;2.0;M
158;Electrolux;1.5;M
159;Electrolux;3.5;M
160;Samsung;1.0;M
161;Electrolux;3.5;M
162;Electrolux;2.0;M
163;Beko;4.0;M
164;Tefal;2.5;M
165;Beko;2.5;M
166;Electrolux;2.0;M
167;Tefal;5.0;M
168;Beko;3.0;M
169;Tefal;3.5;M
170;Beko;1.5;M
171;Dyson;2.5;K
172;Dyson;2.0;M
173;Electrolux;1.5;K
174;Samsung;1.5;bd.
175;Electrolux;4.0;M
176;Electrolux;3.0;K
177;Electrolux;0.5;M
178;Electrolux;2.5;M
179;Tefal;1.5;M
180;Electrolux;2.5;K
181;Electrolux;4.0;M
182;Dyson;2.5;bd.
183;Electrolux;2.5;M
184;Tefal;5.0;M
185;Beko;3.0;M
186;Dyson;2.5;M
187;Dyson;2.0;M
188;Beko;4.5;M
189;Electrolux;2.5;M
190;Electrolux;1.5;M
191;Beko;2.5;M
192;Tefal;3.5;M
193;Beko;3.5;M
194;Samsung;2.5;M
195;Beko;2.5;M
196;Samsung;2.5;M
197;Electrolux;1.0;M
198;Electrolux;2.5;M
199;Electrolux;1.5;K
200;Electrolux;4.0;M
201;Beko;2.5;M
202;Electrolux;2.5;M
203;Tefal;1.0;M
204;Beko;2.5;M
205;Tefal;1.5;M
206;Electrolux;3.0;M
207;Dyson;1.5;M
208;Beko;2.0;M
209;Electrolux;2.5;M
210;Tefal;3.0;M
211;Electrolux;2.5;M
212;Beko;1.5;M
213;Dyson;2.0;M
214;Tefal;1.0;M
215;Beko;4.0;M
216;Beko;1.0;M
217;Beko;3.0;M
218;Electrolux;3.5;M
219;Dyson;3.0;M
220;Dyson;4.0;M
221;Electrolux;4.0;M
222;Electrolux;2.5;M
223;Electrolux;1.5;M
224;Beko;2.5;bd.
225;Dyson;2.5;K
226;Electrolux;2.5;K
227;Samsung;3.0;M
228;Electrolux;2.5;M
229;Electrolux;2.5;M
230;Dyson;2.5;M
231;Beko;2.0;K
232;Electrolux;4.0;M
233;Samsung;3.5;M
234;Tefal;1.5;M
235;Tefal;1.5;M
236;Electrolux;3.0;M
237;Beko;3.5;K
238;Electrolux;1.5;M
239;Dyson;1.0;M
240;Samsung;2.0;M
241;Dyson;3.5;M
242;Beko;1.0;M
243;Beko;0.0;M
244;Tefal;0.5;M
245;Electrolux;4.0;M
246;Beko;3.5;bd.
247;Tefal;3.5;M
248;Beko;3.0;M
249;Beko;1.0;M
250;Electrolux;2.0;M
251;Electrolux;3.0;M
252;Electrolux;5.0;M
253;Electrolux;3.0;M
254;Dyson;2.5;M
255;Beko;1.0;M
256;Electrolux;2.5;M
257;Electrolux;2.0;M
258;Electrolux;2.0;K
259;Electrolux;2.5;M
260;Electrolux;1.5;M
261;Electrolux;1.0;M
262;Dyson;2.0;M
263;Electrolux;2.0;M
264;Dyson;1.0;M
265;Tefal;3.5;M
266;Dyson;3.0;M
267;Electrolux;3.0;M
268;Electrolux;2.0;M
269;Dyson;2.0;M
270;Dyson;2.0;M
271;Beko;5.0;M
272;Electrolux;2.0;M
273;Beko;3.5;M
274;Electrolux;1.5;M
275;Beko;2.5;M
276;Tefal;4.5;M
277;Electrolux;2.0;M
278;Beko;1.0;M
279;Electrolux;0.5;K
280;Electrolux;5.0;M
281;Tefal;1.5;M
282;Electrolux;2.0;M
283;Electrolux;4.0;M
284;Electrolux;1.5;K
285;Electrolux;2.5;K
286;Electrolux;4.0;M
287;Beko;4.0;M
288;Electrolux;2.0;K
289;Dyson;3.5;M
290;Beko;2.0;M
291;Tefal;1.5;M
292;Electrolux;2.0;M
293;Samsung;2.5;K
294;Dyson;2.5;K
295;Beko;1.5;M
296;Tefal;1.5;M
297;Beko;3.0;M
298;Samsung;1.0;M
299;Electrolux;1.0;M
300;Tefal;1.0;M
301;Samsung;3.0;K
302;Electrolux;2.0;M
303;Electrolux;2.5;M
304;Beko;3.0;M
305;Dyson;1.5;M
306;Beko;5.0;M
307;Electrolux;2.5;M
308;Electrolux;1.5;M
309;Beko;3.0;M
310;Dyson;1.5;M
311;Electrolux;3.0;M
312;Electrolux;1.5;M
313;Beko;3.0;M
314;Electrolux;2.0;M
315;Dyson;2.0;M
316;Beko;2.0;M
317;Electrolux;1.0;M
318;Beko;1.0;M
319;Tefal;3.0;M
320;Beko;2.5;M
321;Electrolux;4.5;M
322;Electrolux;2.5;M
323;Beko;3.5;M
324;Electrolux;1.5;M
325;Beko;3.5;K
326;Electrolux;2.5;M
327;Dyson;1.0;M
328;Electrolux;1.5;M
329;Electrolux;2.5;M
330;Beko;2.0;M
331;Beko;1.5;M
332;Electrolux;3.5;M
333;Beko;3.0;M
334;Dyson;2.5;M
335;Dyson;1.5;M
336;Beko;2.5;M
337;Dyson;3.5;M
338;Electrolux;2.5;M
339;Dyson;3.5;M
340;Dyson;2.0;M
341;Electrolux;1.0;K
342;Dyson;1.0;M
343;Electrolux;4.0;M
344;Electrolux;2.5;M
345;Electrolux;1.5;M
346;Beko;1.5;M
347;Beko;1.5;K
348;Dyson;2.0;M
349;Beko;4.0;M
350;Electrolux;1.5;M
351;Dyson;3.5;M
352;Electrolux;3.5;M
353;Beko;3.5;M
354;Beko;3.0;M
355;Electrolux;2.0;M
356;Electrolux;2.0;M
357;Electrolux;1.0;M
358;Electrolux;3.5;K
359;Beko;2.5;bd.
360;Samsung;3.5;M
361;Samsung;2.5;M
362;Dyson;2.5;M
363;Beko;2.5;M
364;Tefal;2.5;M
365;Beko;4.0;M
366;Electrolux;4.0;M
367;Electrolux;3.0;M
368;Samsung;2.5;M
369;Dyson;2.0;M
370;Dyson;3.0;M
371;Beko;2.5;K
372;Electrolux;2.0;M
373;Electrolux;5.0;K
374;Electrolux;3.0;M
375;Electrolux;4.0;M
376;Dyson;3.5;K
377;Tefal;4.0;M
378;Tefal;4.0;M
379;Samsung;2.0;M
380;Dyson;4.0;M
381;Electrolux;3.0;K
382;Samsung;1.0;M
383;Electrolux;2.5;M
384;Electrolux;4.5;M
385;Beko;2.5;bd.
386;Samsung;2.0;M
387;Samsung;2.0;M
388;Electrolux;3.5;M
389;Samsung;4.0;M
390;Tefal;1.0;M
391;Electrolux;2.5;bd.
392;Electrolux;2.0;M
393;Beko;1.5;M
394;Electrolux;1.5;M
395;Beko;1.5;K
396;Dyson;1.5;M
397;Electrolux;3.5;M
398;Tefal;3.5;M
399;Tefal;3.5;M
400;Tefal;1.0;K
401;Dyson;3.5;M
402;Electrolux;2.5;M
403;Tefal;5.0;M
404;Samsung;1.5;M
405;Tefal;2.0;M
406;Dyson;1.5;M
407;Beko;3.0;M
408;Electrolux;1.0;M
409;Electrolux;5.0;M
410;Dyson;3.0;M
411;Beko;4.0;M
412;Electrolux;5.0;K
413;Tefal;3.5;K
414;Electrolux;2.5;M
415;Electrolux;2.0;K
416;Electrolux;1.5;M
417;Dyson;2.0;M
418;Dyson;3.5;M
419;Electrolux;1.0;M
420;Tefal;1.5;M
421;Dyson;3.5;M
422;Electrolux;3.5;bd.
423;Beko;2.0;M
424;Dyson;1.5;M
425;Tefal;2.0;K
426;Beko;1.5;M
427;Electrolux;2.5;M
428;Dyson;3.5;K
429;Beko;1.0;M
430;Tefal;3.0;M
431;Beko;2.5;M
432;Dyson;3.0;K
433;Dyson;1.0;M
434;Beko;3.5;M
435;Beko;2.0;M
436;Electrolux;4.0;K
437;Tefal;1.5;M
438;Electrolux;2.5;M
